order_id,user_id,user_name,city,membership,restaurant_id,restaurant_name_orders,cuisine,rating,order_date,total_amount
1,2508,User_2508,Hyderabad,Regular,450,New Foods Chinese,Mexican,3.2,18-02-2023,842.97
2,2693,User_2693,Pune,Regular,309,Ruchi Curry House Multicuisine,Indian,4.5,18-01-2023,546.68
3,2084,User_2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4.0,15-07-2023,163.93
4,319,User_319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8,04-10-2023,1155.97
5,1064,User_1064,Pune,Regular,293,Royal Eatery South Indian,Italian,3.0,25-12-2023,1321.91
6,2933,User_2933,Chennai,Regular,499,Annapurna Tiffins South Indian,Mexican,4.9,12-07-2023,1497.22
7,970,User_970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9,30-05-2023,129.21
8,891,User_891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4,07-11-2023,269.19
9,364,User_364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2,05-12-2023,953.3
10,2972,User_2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,30-12-2023,351.41
11,924,User_924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5,10-12-2023,523.82
12,884,User_884,Pune,Gold,423,Royal Tiffins Multicuisine,Indian,3.2,27-10-2023,1484.65
13,1958,User_1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3,11-08-2023,216.59
14,364,User_364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,24-09-2023,898.24
15,1733,User_1733,Pune,Regular,383,Amma Biryani North Indian,Indian,3.1,17-07-2023,1098.41
16,1321,User_1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6,17-07-2023,475.74
17,1896,User_1896,Pune,Regular,421,Ruchi Foods Chinese,Indian,3.0,09-04-2023,1002.51
18,1617,User_1617,Pune,Gold,414,Darbar Delights South Indian,Chinese,4.7,23-04-2023,736.89
19,330,User_330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1,27-12-2023,392.59
20,2567,User_2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9,03-02-2023,362.01
21,1610,User_1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3,13-08-2023,743.68
22,688,User_688,Hyderabad,Gold,279,Sri Tiffins Andhra,Italian,4.9,12-07-2023,507.82
23,2640,User_2640,Bangalore,Gold,83,Darbar Mess Pure Veg,Chinese,3.5,14-06-2023,1025.36
24,2403,User_2403,Pune,Gold,434,Amma Kitchen Punjabi,Italian,4.7,22-01-2023,412.5
25,288,User_288,Pune,Regular,18,Annapurna Kitchen Family Restaurant,Italian,4.5,07-06-2023,147.9
26,2915,User_2915,Chennai,Gold,129,New Cafe North Indian,Indian,4.1,24-12-2023,933.31
27,1056,User_1056,Bangalore,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2,08-08-2023,678.38
28,2370,User_2370,Bangalore,Regular,63,Ruchi Foods South Indian,Italian,5.0,23-03-2023,900.74
29,2905,User_2905,Pune,Gold,115,Annapurna Eatery Non-Veg,Chinese,3.3,20-09-2023,903.0
30,2009,User_2009,Chennai,Gold,18,Annapurna Kitchen Family Restaurant,Italian,4.5,23-04-2023,996.26
31,1986,User_1986,Bangalore,Regular,190,Amma Restaurant Pure Veg,Chinese,3.1,03-04-2023,199.16
32,1407,User_1407,Pune,Gold,93,Swagath Cafe Multicuisine,Chinese,4.9,26-01-2023,741.1
33,1761,User_1761,Bangalore,Gold,346,Amma Dhaba Non-Veg,Indian,4.5,04-07-2023,957.07
34,844,User_844,Chennai,Gold,350,Classic Curry House South Indian,Mexican,3.2,15-06-2023,455.96
35,2858,User_2858,Hyderabad,Regular,291,Annapurna Foods Non-Veg,Mexican,4.3,15-05-2023,121.81
36,186,User_186,Chennai,Regular,113,Darbar Biryani Pure Veg,Chinese,5.0,12-09-2023,140.83
37,952,User_952,Chennai,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,01-02-2023,1198.64
38,2972,User_2972,Bangalore,Regular,376,Amma Cafe Non-Veg,Indian,3.4,11-01-2023,751.82
39,118,User_118,Pune,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4,23-02-2023,596.06
40,2773,User_2773,Pune,Gold,63,Ruchi Foods South Indian,Italian,5.0,25-07-2023,622.5
41,1071,User_1071,Hyderabad,Gold,145,Amma Restaurant South Indian,Italian,3.1,09-01-2023,753.16
42,2274,User_2274,Chennai,Regular,121,Sri Delights Non-Veg,Indian,4.1,21-01-2023,955.51
43,380,User_380,Bangalore,Regular,256,Sri Curry House Andhra,Italian,3.1,26-03-2023,850.52
44,633,User_633,Pune,Gold,161,Annapurna Biryani South Indian,Mexican,3.8,04-12-2023,512.14
45,1146,User_1146,Pune,Gold,426,Royal Foods Non-Veg,Chinese,3.5,13-09-2023,914.87
46,2294,User_2294,Pune,Regular,72,Sri Foods Chinese,Mexican,3.4,25-12-2023,602.82
47,505,User_505,Hyderabad,Gold,69,Classic Tiffins Punjabi,Chinese,4.9,30-09-2023,929.24
48,372,User_372,Chennai,Regular,397,Amma Foods Family Restaurant,Indian,4.8,30-11-2023,957.14
49,2911,User_2911,Pune,Regular,234,Swagath Kitchen North Indian,Chinese,3.7,10-02-2023,183.82
50,1673,User_1673,Chennai,Regular,118,Amma Mess Pure Veg,Mexican,3.8,26-09-2023,298.54
51,1853,User_1853,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6,10-05-2023,893.66
52,799,User_799,Chennai,Regular,462,Grand Curry House Family Restaurant,Italian,3.1,18-08-2023,1423.59
53,638,User_638,Hyderabad,Regular,262,Hotel Cafe Punjabi,Chinese,4.9,14-12-2023,261.16
54,1042,User_1042,Pune,Gold,266,Annapurna Delights Multicuisine,Italian,3.9,06-09-2023,334.11
55,2610,User_2610,Pune,Regular,172,Darbar Eatery Family Restaurant,Italian,3.9,08-06-2023,838.38
56,2560,User_2560,Pune,Gold,215,Spice Biryani Punjabi,Mexican,4.4,20-10-2023,1499.8
57,392,User_392,Chennai,Regular,273,Swagath Delights Andhra,Indian,3.9,16-06-2023,852.11
58,606,User_606,Hyderabad,Gold,361,Royal Dhaba Punjabi,Indian,4.5,22-02-2023,1281.55
59,1785,User_1785,Bangalore,Gold,247,Hotel Mess Punjabi,Mexican,3.2,07-11-2023,169.22
60,1077,User_1077,Chennai,Regular,373,Sai Delights Chinese,Indian,3.6,10-04-2023,544.55
61,1753,User_1753,Hyderabad,Gold,130,Royal Restaurant South Indian,Indian,4.6,30-08-2023,1134.71
62,723,User_723,Bangalore,Gold,165,Udupi Kitchen Chinese,Mexican,4.3,24-11-2023,722.78
63,205,User_205,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1,27-07-2023,1107.3
64,1565,User_1565,Pune,Regular,189,Hotel Curry House Non-Veg,Indian,4.8,09-03-2023,625.41
65,2905,User_2905,Pune,Gold,220,Spice Kitchen North Indian,Mexican,3.2,07-04-2023,881.86
66,340,User_340,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7,12-08-2023,1356.31
67,2716,User_2716,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,07-08-2023,781.02
68,850,User_850,Chennai,Regular,292,Amma Cafe North Indian,Mexican,4.0,19-04-2023,165.97
69,929,User_929,Chennai,Gold,162,New Foods Multicuisine,Italian,3.3,10-07-2023,1377.54
70,179,User_179,Bangalore,Regular,463,Hotel Delights Chinese,Chinese,3.2,23-09-2023,890.18
